Model,Optimizer,Learning Rate,Dropout,Batch Norm,Regularization,accuracy,loss,precision,recall,f1,history
Adam_Dropout_BatchNorm,Adam,0.00025,0.2,True,,0.6999161839485168,0.6804034113883972,0.6936325244831694,0.6999161777032691,0.692698990862267,"{'accuracy': [0.3820570111274719, 0.44382336735725403, 0.4916154146194458, 0.5293459892272949, 0.5505869388580322, 0.5824483036994934, 0.57574063539505, 0.596422553062439, 0.5967020392417908, 0.6062045693397522, 0.616545557975769, 0.6126327514648438, 0.6173840165138245, 0.6201788783073425, 0.6154276132583618, 0.6335942149162292, 0.6307993531227112, 0.6405813097953796, 0.6358300447463989, 0.6433761715888977, 0.6430966854095459, 0.637227475643158, 0.657350480556488, 0.6405813097953796, 0.6523197293281555, 0.6512017846107483, 0.6478479504585266, 0.6489658951759338, 0.648686408996582, 0.6475684642791748, 0.657350480556488, 0.6584684252738953, 0.6534376740455627, 0.6587479114532471, 0.6523197293281555, 0.6576299667358398, 0.6551145911216736, 0.6676914691925049, 0.657350480556488, 0.6623812317848206, 0.6539966464042664, 0.6674119830131531, 0.6640581488609314, 0.6682504415512085, 0.6654555797576904, 0.6637786626815796, 0.6621017456054688, 0.6746785640716553, 0.6724427342414856, 0.6813862323760986], 'loss': [1.305261492729187, 1.1151927709579468, 1.0375195741653442, 0.9702399373054504, 0.9163948893547058, 0.8962510228157043, 0.8765110969543457, 0.8669775724411011, 0.8540348410606384, 0.8424001336097717, 0.8319836854934692, 0.8452675342559814, 0.8251215219497681, 0.8190093636512756, 0.8093810081481934, 0.7990812063217163, 0.7896116375923157, 0.7917359471321106, 0.7961319088935852, 0.7857860326766968, 0.7817622423171997, 0.7740623354911804, 0.7766317129135132, 0.780364453792572, 0.7832351922988892, 0.7722329497337341, 0.770788848400116, 0.7707066535949707, 0.7641728520393372, 0.7698994874954224, 0.7544671297073364, 0.7512510418891907, 0.7532041072845459, 0.7679261565208435, 0.7570433020591736, 0.7495284080505371, 0.759833037853241, 0.7591567039489746, 0.7504265308380127, 0.7455395460128784, 0.7579331994056702, 0.7456449270248413, 0.7483024001121521, 0.7355329394340515, 0.7498570680618286, 0.7298943400382996, 0.7346188426017761, 0.7378689050674438, 0.7290063500404358, 0.738542377948761], 'val_accuracy': [0.43252304196357727, 0.4526404142379761, 0.5096395611763, 0.5607711672782898, 0.5901089906692505, 0.5984911918640137, 0.6152556538581848, 0.6227996349334717, 0.6395640969276428, 0.6102263331413269, 0.6194467544555664, 0.6068734526634216, 0.5766974091529846, 0.6454316973686218, 0.6571667790412903, 0.651299238204956, 0.629505455493927, 0.6462699174880981, 0.6487845778465271, 0.6714165806770325, 0.6580050587654114, 0.6655490398406982, 0.656328558921814, 0.6345347762107849, 0.629505455493927, 0.6672254800796509, 0.6647108197212219, 0.6663872599601746, 0.6672254800796509, 0.6580050587654114, 0.659681499004364, 0.6680637001991272, 0.6722548007965088, 0.6730930209159851, 0.6647108197212219, 0.686504602432251, 0.6764459609985352, 0.6730930209159851, 0.6739312410354614, 0.6697401404380798, 0.6471081376075745, 0.6655490398406982, 0.6747694611549377, 0.6932104229927063, 0.6823135018348694, 0.686504602432251, 0.6873428225517273, 0.6906957030296326, 0.6873428225517273, 0.6730930209159851], 'val_loss': [1.0813497304916382, 1.0260734558105469, 0.9684863090515137, 0.9122766852378845, 0.8637521266937256, 0.8330844044685364, 0.8298612833023071, 0.7962564826011658, 0.8037643432617188, 0.8076173663139343, 0.8103773593902588, 0.8350001573562622, 0.8475173711776733, 0.7707910537719727, 0.7634138464927673, 0.7622293829917908, 0.8040618300437927, 0.7661820650100708, 0.7815641164779663, 0.7544950246810913, 0.7774679064750671, 0.7472328543663025, 0.7440471053123474, 0.7955718636512756, 0.8114678263664246, 0.7435352802276611, 0.7535131573677063, 0.739170253276825, 0.7492145299911499, 0.7591248154640198, 0.7453662157058716, 0.7372286915779114, 0.7293367385864258, 0.7381733655929565, 0.7399914264678955, 0.7350483536720276, 0.7229527235031128, 0.7263482809066772, 0.7326251268386841, 0.730823278427124, 0.7634973526000977, 0.7431837320327759, 0.7241244316101074, 0.7227342128753662, 0.7238044142723083, 0.7102727890014648, 0.7131707668304443, 0.7242269515991211, 0.7116905450820923, 0.7327966690063477], 'learning_rate': [0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628]}"
RMSprop_L2_Deep,RMSprop,0.000625,,False,<keras.src.regularizers.regularizers.L2 object at 0x7a75147e8550>,0.6504610180854797,0.8150550127029419,0.637507344715886,0.6504610226320201,0.6100643217150094,"{'accuracy': [0.3759083151817322, 0.4466182291507721, 0.4958077073097229, 0.5310229063034058, 0.5455561876296997, 0.5511459112167358, 0.5433202981948853, 0.5528228282928467, 0.5667970776557922, 0.5679150223731995, 0.5676355361938477, 0.5813303589820862, 0.5768585801124573, 0.5799329280853271, 0.6006148457527161, 0.5989379286766052, 0.6092789173126221, 0.6048071384429932, 0.6039686799049377, 0.6076020002365112, 0.6095584034919739, 0.6089994311332703, 0.605086624622345, 0.5989379286766052, 0.6053661108016968, 0.606484055519104, 0.6123532652854919, 0.6120737791061401, 0.6070430278778076, 0.6157070994377136, 0.6117942929267883, 0.6103968620300293, 0.6182224750518799, 0.6112353205680847, 0.6145891547203064, 0.6179429888725281, 0.6182224750518799, 0.6062045693397522, 0.6168250441551208, 0.6240916848182678, 0.6274455189704895, 0.6280044913291931, 0.6291224360466003, 0.6319172978401184, 0.629681408405304, 0.6355505585670471, 0.6355505585670471, 0.6335942149162292, 0.6341531872749329, 0.640022337436676], 'loss': [1.6723275184631348, 1.0907906293869019, 1.0438368320465088, 1.0204368829727173, 0.9919400811195374, 0.981386125087738, 0.9771959185600281, 0.9776550531387329, 0.9649544358253479, 0.952908992767334, 0.9468680024147034, 0.9316897392272949, 0.9331899285316467, 0.9293407201766968, 0.9035803079605103, 0.9018183946609497, 0.8979142904281616, 0.8958203196525574, 0.8950311541557312, 0.8944892287254333, 0.8952741026878357, 0.892266035079956, 0.891335666179657, 0.8907397985458374, 0.8905961513519287, 0.8919207453727722, 0.8896978497505188, 0.8885213732719421, 0.8913372755050659, 0.8822290897369385, 0.8840019106864929, 0.8829590082168579, 0.8857656717300415, 0.8809616565704346, 0.8845925331115723, 0.8811633586883545, 0.8830468654632568, 0.8792206048965454, 0.8808844685554504, 0.8625892400741577, 0.8603982329368591, 0.8629703521728516, 0.8593249320983887, 0.8589407205581665, 0.8581352829933167, 0.850451648235321, 0.8487325310707092, 0.8494808077812195, 0.8467499613761902, 0.8453916311264038], 'val_accuracy': [0.4191114902496338, 0.40234702825546265, 0.5825649499893188, 0.4786253273487091, 0.5943000912666321, 0.5649622678756714, 0.6085498929023743, 0.5473595857620239, 0.5842413902282715, 0.5440067052841187, 0.5523889064788818, 0.566638708114624, 0.542330265045166, 0.5641240477561951, 0.5934618711471558, 0.5875942707061768, 0.5305951237678528, 0.6010058522224426, 0.5632858276367188, 0.6043587327003479, 0.5800502896308899, 0.6227996349334717, 0.6160938739776611, 0.6194467544555664, 0.6093881130218506, 0.5867560505867004, 0.5951383113861084, 0.5875942707061768, 0.6043587327003479, 0.5951383113861084, 0.6177703142166138, 0.5926236510276794, 0.632020115852356, 0.6051969528198242, 0.6169320940971375, 0.6194467544555664, 0.6311818957328796, 0.6085498929023743, 0.6135792136192322, 0.6244761347770691, 0.607711672782898, 0.5859178304672241, 0.6169320940971375, 0.5850796103477478, 0.6286672353744507, 0.6387258768081665, 0.6445934772491455, 0.5984911918640137, 0.6378876566886902, 0.626990795135498], 'val_loss': [1.1353673934936523, 1.1164870262145996, 0.9744503498077393, 1.0373265743255615, 0.9354038238525391, 0.959010899066925, 0.935261607170105, 0.968428909778595, 0.9180135726928711, 0.9428773522377014, 0.9428296685218811, 0.950161337852478, 0.9633985757827759, 0.9269842505455017, 0.889792799949646, 0.9236816763877869, 1.027410626411438, 0.8823148012161255, 0.9182983040809631, 0.8817368149757385, 0.9148615598678589, 0.8935236930847168, 0.8923869729042053, 0.8740522861480713, 0.8732367753982544, 0.8847659230232239, 0.872425377368927, 0.8687554597854614, 0.8678566813468933, 0.8678100109100342, 0.8597167730331421, 0.8677669763565063, 0.8759616017341614, 0.85885089635849, 0.8597250580787659, 0.8662742972373962, 0.8656901121139526, 0.8637295365333557, 0.858916163444519, 0.8506053686141968, 0.8666912317276001, 0.8816564679145813, 0.8527758121490479, 0.8916798233985901, 0.8778884410858154, 0.8487120270729065, 0.8452339768409729, 0.8657910823822021, 0.8423681259155273, 0.8535501956939697], 'learning_rate': [0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614]}"
SGD_Momentum_BatchNorm,SGD,0.000625,,True,,0.6881810426712036,0.7358298897743225,0.6856688118587408,0.6881810561609388,0.6845816983383589,"{'accuracy': [0.4343208372592926, 0.48490777611732483, 0.5005589723587036, 0.5198434591293335, 0.5279485583305359, 0.5430408120155334, 0.5427613258361816, 0.5396869778633118, 0.5550587177276611, 0.5528228282928467, 0.5754611492156982, 0.574343204498291, 0.5835662484169006, 0.581609845161438, 0.5897149443626404, 0.6031302213668823, 0.6257686018943787, 0.6274455189704895, 0.6282839775085449, 0.6190609335899353, 0.6327557563781738, 0.6341531872749329, 0.6333147287368774, 0.6377864480018616, 0.6330352425575256, 0.6394633650779724, 0.6355505585670471, 0.6405813097953796, 0.6461710333824158, 0.6503633260726929, 0.6498043537139893, 0.6579094529151917, 0.6478479504585266, 0.6478479504585266, 0.6640581488609314, 0.6593068838119507, 0.6760759949684143, 0.6676914691925049, 0.6713247895240784, 0.6713247895240784, 0.6643376350402832, 0.663219690322876, 0.6567915081977844, 0.6668530106544495, 0.666014552116394, 0.670486330986023, 0.6707658171653748, 0.6732811331748962, 0.666014552116394, 0.6710453033447266], 'loss': [1.0962592363357544, 1.0004671812057495, 0.9743533730506897, 0.9619320034980774, 0.9465247392654419, 0.9467920660972595, 0.9259422421455383, 0.9379108548164368, 0.9138896465301514, 0.9068537950515747, 0.8965598344802856, 0.8908885717391968, 0.874613344669342, 0.881523609161377, 0.8614699244499207, 0.8387994170188904, 0.8182923793792725, 0.8146519064903259, 0.8196007609367371, 0.8144024014472961, 0.808418333530426, 0.8037844300270081, 0.7975500822067261, 0.7859607934951782, 0.793221652507782, 0.7916597723960876, 0.779562771320343, 0.787243664264679, 0.7760224938392639, 0.7681674361228943, 0.7702096700668335, 0.7502008080482483, 0.7564283609390259, 0.7712644338607788, 0.7542930841445923, 0.7507902383804321, 0.740726888179779, 0.7369942665100098, 0.7347292304039001, 0.7320798635482788, 0.7433355450630188, 0.7522674202919006, 0.7467861771583557, 0.7407616972923279, 0.7398407459259033, 0.7473078370094299, 0.7376636862754822, 0.7225545644760132, 0.737484335899353, 0.7295026183128357], 'val_accuracy': [0.36295053362846375, 0.38306790590286255, 0.3906119167804718, 0.370494544506073, 0.4383906126022339, 0.4056999087333679, 0.42665550112724304, 0.3889354467391968, 0.47024309635162354, 0.4492875039577484, 0.3939647972583771, 0.37803855538368225, 0.36797988414764404, 0.4400670528411865, 0.4425817131996155, 0.46018439531326294, 0.5582565069198608, 0.514668881893158, 0.47527241706848145, 0.5507124662399292, 0.4543168544769287, 0.5641240477561951, 0.5255658030509949, 0.544844925403595, 0.5456831455230713, 0.5465213656425476, 0.5465213656425476, 0.4694048762321472, 0.626990795135498, 0.4979044497013092, 0.5590947270393372, 0.5741827487945557, 0.5582565069198608, 0.4727577567100525, 0.5046102404594421, 0.5792120695114136, 0.575020968914032, 0.457669734954834, 0.6462699174880981, 0.6060352325439453, 0.5716680884361267, 0.653813898563385, 0.48030176758766174, 0.544844925403595, 0.5884325504302979, 0.49622800946235657, 0.5926236510276794, 0.4828164279460907, 0.596814751625061, 0.6404023766517639], 'val_loss': [1.394230604171753, 1.754085898399353, 1.795807957649231, 1.5279409885406494, 1.0760424137115479, 1.3769700527191162, 1.1259092092514038, 1.2557997703552246, 1.0594648122787476, 1.0349594354629517, 1.5207635164260864, 1.475005030632019, 1.8005599975585938, 1.4542485475540161, 1.0433104038238525, 1.1521713733673096, 0.9613140225410461, 1.2314108610153198, 1.367309331893921, 0.8635949492454529, 1.1934796571731567, 0.8922525644302368, 0.9200311303138733, 1.4180939197540283, 1.0417155027389526, 0.8969902396202087, 0.9499150514602661, 1.0734617710113525, 0.7978307604789734, 0.9969740509986877, 1.3260732889175415, 0.8222463130950928, 0.9307729601860046, 1.0681565999984741, 1.0264768600463867, 0.8299727439880371, 0.8456498980522156, 1.0566027164459229, 0.7621768712997437, 0.8916271328926086, 1.3130067586898804, 0.7456377744674683, 1.0176804065704346, 0.9141393303871155, 0.8429104089736938, 1.4011890888214111, 0.9291676878929138, 1.0130975246429443, 0.9127758741378784, 0.7743329405784607], 'learning_rate': [0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614]}"
Adam_ElasticNet_Dropout,Adam,6.25e-05,0.3,False,<keras.src.regularizers.regularizers.L1L2 object at 0x7a74edbd7290>,0.3352891802787781,1.099971055984497,0.1124188388679704,0.3352891869237217,0.16838126148083954,"{'accuracy': [0.336780309677124, 0.3401341438293457, 0.3532699942588806, 0.33063164353370667, 0.33761876821517944, 0.3331470191478729, 0.335941880941391, 0.3281162679195404, 0.33398547768592834, 0.3356623947620392, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33426496386528015, 0.33761876821517944, 0.32923421263694763, 0.33705979585647583, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944, 0.33761876821517944], 'loss': [11.331993103027344, 3.656210422515869, 1.8630210161209106, 1.343074083328247, 1.2031664848327637, 1.163132667541504, 1.1462740898132324, 1.1390835046768188, 1.1366803646087646, 1.1358202695846558, 1.1358951330184937, 1.1363625526428223, 1.1368554830551147, 1.137502670288086, 1.120341420173645, 1.119164228439331, 1.119268536567688, 1.1193565130233765, 1.1193368434906006, 1.119328260421753, 1.1096712350845337, 1.1089156866073608, 1.1089537143707275, 1.1088775396347046, 1.1089165210723877, 1.1088981628417969, 1.1044297218322754, 1.1040291786193848, 1.1040284633636475, 1.1040281057357788, 1.1040204763412476, 1.1040188074111938, 1.104018211364746, 1.104019284248352, 1.1040170192718506, 1.1040295362472534, 1.1015501022338867, 1.1013596057891846, 1.1013776063919067, 1.101344347000122, 1.1013463735580444, 1.1013420820236206, 1.1013319492340088, 1.1013498306274414, 1.1013389825820923, 1.1013551950454712, 1.1013681888580322, 1.1001060009002686, 1.1000306606292725, 1.100023865699768], 'val_accuracy': [0.3361274003982544, 0.31852471828460693, 0.34367141127586365, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.3310980796813965, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693, 0.31852471828460693], 'val_loss': [5.48370885848999, 2.409764051437378, 1.4954564571380615, 1.2437301874160767, 1.1764975786209106, 1.15303635597229, 1.1419323682785034, 1.1374560594558716, 1.1363723278045654, 1.1367430686950684, 1.136854887008667, 1.1371961832046509, 1.1375837326049805, 1.13795006275177, 1.1178553104400635, 1.1219615936279297, 1.1204527616500854, 1.1189067363739014, 1.121413230895996, 1.1188807487487793, 1.1085935831069946, 1.109126329421997, 1.1104371547698975, 1.1087656021118164, 1.1084957122802734, 1.11005437374115, 1.104575514793396, 1.1044816970825195, 1.1047431230545044, 1.1044801473617554, 1.1042637825012207, 1.1043872833251953, 1.1047565937042236, 1.1045290231704712, 1.1043131351470947, 1.104461669921875, 1.1015021800994873, 1.1017532348632812, 1.1016758680343628, 1.1015679836273193, 1.101775050163269, 1.10138738155365, 1.1018409729003906, 1.1016594171524048, 1.1016403436660767, 1.101874589920044, 1.1014996767044067, 1.1004384756088257, 1.100449562072754, 1.1004890203475952], 'learning_rate': [0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0020000000949949026, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 6.25000029685907e-05, 6.25000029685907e-05, 6.25000029685907e-05]}"
RMSprop_L1_BatchNorm,RMSprop,0.000125,,True,<keras.src.regularizers.regularizers.L1 object at 0x7a75149c5fd0>,0.7309304475784302,0.6930383443832397,0.7262070040335964,0.7309304274937133,0.7274374670250187,"{'accuracy': [0.46031302213668823, 0.5491895079612732, 0.5855226516723633, 0.5950251817703247, 0.5961431264877319, 0.6187814474105835, 0.6134712100028992, 0.629681408405304, 0.6380659341812134, 0.6411402821540833, 0.6453325748443604, 0.6517607569694519, 0.6562325358390808, 0.6444941163063049, 0.6470094919204712, 0.6598658561706543, 0.6579094529151917, 0.6576299667358398, 0.664617121219635, 0.671883761882782, 0.6679709553718567, 0.6654555797576904, 0.6654555797576904, 0.6878144145011902, 0.6903297901153564, 0.6836221218109131, 0.6791503429412842, 0.686696469783783, 0.6889323592185974, 0.695360541343689, 0.6950810551643372, 0.6987143754959106, 0.6864169836044312, 0.6920067071914673, 0.7045835852622986, 0.7045835852622986, 0.6939631104469299, 0.6964784860610962, 0.7029066681861877, 0.6978759169578552, 0.7006707787513733, 0.7152040004730225, 0.7017887234687805, 0.7079374194145203, 0.7098938226699829, 0.7043040990829468, 0.7082169055938721, 0.7126886248588562, 0.7107322812080383, 0.7157629728317261], 'loss': [6.255337715148926, 4.440423488616943, 3.4270920753479004, 2.8098864555358887, 2.3700575828552246, 2.046257972717285, 1.7941256761550903, 1.566692590713501, 1.3945361375808716, 1.2830504179000854, 1.1905953884124756, 1.1109296083450317, 1.050757884979248, 1.0079729557037354, 0.979702889919281, 0.9349939823150635, 0.9174028635025024, 0.901470422744751, 0.8821318745613098, 0.8754843473434448, 0.8803651332855225, 0.860745906829834, 0.8516881465911865, 0.8041796088218689, 0.7912862300872803, 0.7906618714332581, 0.789844274520874, 0.7860172390937805, 0.7720434069633484, 0.7827534675598145, 0.7732673287391663, 0.7792027592658997, 0.7784954905509949, 0.7595513463020325, 0.7442458271980286, 0.7539940476417542, 0.7564658522605896, 0.7488572001457214, 0.7428427338600159, 0.7449663877487183, 0.7414407730102539, 0.7295322418212891, 0.7311572432518005, 0.7311780452728271, 0.7276341915130615, 0.7329317331314087, 0.7226698994636536, 0.7206578254699707, 0.7230405211448669, 0.7213284373283386], 'val_accuracy': [0.3948030173778534, 0.4425817131996155, 0.4593461751937866, 0.4677284061908722, 0.4434199631214142, 0.5062866806983948, 0.5884325504302979, 0.6051969528198242, 0.5046102404594421, 0.6127409934997559, 0.6663872599601746, 0.5808885097503662, 0.5976529717445374, 0.6362112164497375, 0.566638708114624, 0.6445934772491455, 0.5817267298698425, 0.6328583359718323, 0.5481978058815002, 0.5951383113861084, 0.6119027733802795, 0.5959765315055847, 0.5264040231704712, 0.6387258768081665, 0.6705783605575562, 0.6487845778465271, 0.6705783605575562, 0.6697401404380798, 0.6261525750160217, 0.6823135018348694, 0.621123194694519, 0.626990795135498, 0.659681499004364, 0.6856663823127747, 0.6680637001991272, 0.7024308443069458, 0.6588432788848877, 0.6940486431121826, 0.6814752817153931, 0.6797988414764404, 0.6697401404380798, 0.7015926241874695, 0.6906957030296326, 0.7041072845458984, 0.6915339231491089, 0.6856663823127747, 0.7015926241874695, 0.6873428225517273, 0.7066219449043274, 0.6974015235900879], 'val_loss': [5.27641487121582, 3.9635958671569824, 3.236656665802002, 2.826812505722046, 2.3403964042663574, 2.018127679824829, 1.7123665809631348, 1.5207915306091309, 1.4687902927398682, 1.276802897453308, 1.142029047012329, 1.1407004594802856, 1.2711132764816284, 1.0140345096588135, 1.0359092950820923, 0.9718153476715088, 1.0245097875595093, 0.9195834994316101, 1.0490466356277466, 1.0843169689178467, 0.9520267844200134, 0.9708428978919983, 1.0900224447250366, 0.8990846872329712, 0.8160577416419983, 0.9079001545906067, 0.8084354400634766, 0.7853522300720215, 0.8784490823745728, 0.7923218607902527, 0.935385525226593, 0.8438932299613953, 0.8410375714302063, 0.7535015344619751, 0.7841413617134094, 0.7453806400299072, 0.8182162046432495, 0.7734758257865906, 0.7597635388374329, 0.7721482515335083, 0.8362258672714233, 0.7366719245910645, 0.7397130727767944, 0.7346101403236389, 0.7399809956550598, 0.7405823469161987, 0.727694571018219, 0.7528051137924194, 0.718417227268219, 0.7248222827911377], 'learning_rate': [0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0005000000237487257, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0002500000118743628, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814, 0.0001250000059371814]}"
